Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,ROC-AUC,Log Loss,ECE
Compact CNN,0.8621794871794872,0.8170940170940171,0.820675105485232,0.9974358974358974,0.9004629629629629,0.9667981591058514,0.4383725602026791,0.320399845421959
LogisticRegression Embeddings,0.8557692307692307,0.8085470085470086,0.8138075313807531,0.9974358974358974,0.8963133640552995,0.9529585798816569,0.8584559354546835,0.3505594823927215
RandomForest Embeddings,0.8557692307692307,0.8085470085470086,0.8138075313807531,0.9974358974358974,0.8963133640552995,0.950252027175104,1.2016654187997262,0.31899038461538465
ExtraTrees Embeddings,0.8541666666666666,0.8064102564102564,0.8121085594989561,0.9974358974358974,0.8952819332566168,0.9492055665132588,1.1800897438534308,0.316386217948718
XGBoost Embeddings,0.8541666666666666,0.8064102564102564,0.8121085594989561,0.9974358974358974,0.8952819332566168,0.9504821389436774,0.7376518056205782,0.35090581593491754
SoftVoting Embeddings,0.8509615384615384,0.8021367521367522,0.8087318087318087,0.9974358974358974,0.8932261768082663,0.9587278106508876,0.6033452561994079,0.33650494622408844
LightGBM Embeddings,0.8493589743589743,0.8008547008547009,0.8083333333333333,0.9948717948717949,0.8919540229885058,0.9435513916283147,1.18385839150097,0.366662411627259
