Paradigm,Model / Decision Rule,Accuracy,Balanced Accuracy,Sensitivity,Specificity,Precision,F1,ROC-AUC,FN,FP,FN rate,FP rate
Conventional AI,"Conventional AI (Compact CNN, tau=0.50)",0.8621794871794872,0.8170940170940171,0.9974358974358974,0.6367521367521367,0.820675105485232,0.9004629629629629,0.9667981591058514,1,85,0.002564102564102564,0.36324786324786323
UVIF,"UVIF (Compact CNN, tau=0.98)",0.907051282051282,0.9051282051282051,0.9128205128205128,0.8974358974358975,0.9368421052631579,0.9246753246753247,0.9667981591058514,34,24,0.08717948717948718,0.10256410256410256
