threshold,sensitivity,specificity,precision,f1_score,balanced_accuracy,false_negatives,false_positives,fn_rate,fp_rate,ece_at_model_level,uvif_threshold_utility
0.01,1.0,0.18803418803418803,0.6724137931034483,0.8041237113402062,0.594017094017094,0,190,0.0,0.811965811965812,0.320399845421959,0.555252606936318
0.02,1.0,0.24786324786324787,0.6890459363957597,0.8158995815899581,0.6239316239316239,0,176,0.0,0.7521367521367521,0.320399845421959,0.5804539799077986
0.03,1.0,0.2863247863247863,0.7001795332136446,0.8236536430834214,0.6431623931623931,0,167,0.0,0.7136752136752137,0.320399845421959,0.5967486671160391
0.04,1.0,0.32905982905982906,0.7129798903107861,0.8324439701173959,0.6645299145299145,0,157,0.0,0.6709401709401709,0.320399845421959,0.6149445346929715
0.05,1.0,0.3547008547008547,0.7208872458410351,0.8378088077336198,0.6773504273504274,0,151,0.0,0.6452991452991453,0.320399845421959,0.6259097226393014
0.060000000000000005,1.0,0.37606837606837606,0.7276119402985075,0.8423326133909287,0.688034188034188,0,146,0.0,0.6239316239316239,0.320399845421959,0.6350756301351511
0.06999999999999999,1.0,0.38461538461538464,0.7303370786516854,0.8441558441558441,0.6923076923076923,0,144,0.0,0.6153846153846154,0.320399845421959,0.6387493384943181
0.08,1.0,0.3974358974358974,0.7344632768361582,0.8469055374592834,0.6987179487179487,0,141,0.0,0.6025641025641025,0.320399845421959,0.6442679017046844
0.09,1.0,0.3974358974358974,0.7344632768361582,0.8469055374592834,0.6987179487179487,0,141,0.0,0.6025641025641025,0.320399845421959,0.6442679017046844
0.09999999999999999,1.0,0.41452991452991456,0.7400379506641366,0.8505997818974919,0.7072649572649573,0,137,0.0,0.5854700854700855,0.320399845421959,0.6516411454275184
0.11,1.0,0.43162393162393164,0.745697896749522,0.8543263964950711,0.7158119658119658,0,133,0.0,0.5683760683760684,0.320399845421959,0.659032035512869
0.12,1.0,0.44871794871794873,0.7514450867052023,0.858085808580858,0.7243589743589743,0,129,0.0,0.5512820512820513,0.320399845421959,0.6664409318019952
0.13,1.0,0.44871794871794873,0.7514450867052023,0.858085808580858,0.7243589743589743,0,129,0.0,0.5512820512820513,0.320399845421959,0.6664409318019952
0.14,1.0,0.45726495726495725,0.7543520309477756,0.8599779492833517,0.7286324786324786,0,127,0.0,0.5427350427350427,0.320399845421959,0.6701522475352082
0.15000000000000002,1.0,0.46153846153846156,0.7558139534883721,0.8609271523178808,0.7307692307692308,0,126,0.0,0.5384615384615384,0.320399845421959,0.6720096428672034
0.16,1.0,0.4658119658119658,0.7572815533980582,0.861878453038674,0.732905982905983,0,125,0.0,0.5341880341880342,0.320399845421959,0.673868204457502
0.17,1.0,0.4700854700854701,0.7587548638132295,0.8628318584070797,0.7350427350427351,0,124,0.0,0.5299145299145299,0.320399845421959,0.6757279383207649
0.18000000000000002,1.0,0.4829059829059829,0.7632093933463796,0.8657047724750278,0.7414529914529915,0,121,0.0,0.5170940170940171,0.320399845421959,0.6813142343481091
0.19,1.0,0.4829059829059829,0.7632093933463796,0.8657047724750278,0.7414529914529915,0,121,0.0,0.5170940170940171,0.320399845421959,0.6813142343481091
0.2,1.0,0.48717948717948717,0.7647058823529411,0.8666666666666667,0.7435897435897436,0,120,0.0,0.5128205128205128,0.320399845421959,0.6831787183235657
0.21000000000000002,1.0,0.49145299145299143,0.7662082514734774,0.8676307007786429,0.7457264957264957,0,119,0.0,0.5085470085470085,0.320399845421959,0.6850444053041691
0.22,1.0,0.5,0.7692307692307693,0.8695652173913043,0.75,0,117,0.0,0.5,0.320399845421959,0.6887794134511152
