Model,UVIF Score,ROC-AUC,Sensitivity / Pneumonia Recall,Specificity / Normal Recall,Precision,F1-score,ECE,Calibration Reliability (1-ECE),False Negatives,False Positives,FN Rate,FP Rate,XAI Utility Prior,Complexity Prior
Compact CNN,0.7983762712105983,0.9667981591058514,0.9974358974358974,0.6367521367521367,0.820675105485232,0.9004629629629629,0.320399845421959,0.679600154578041,1,85,0.002564102564102564,0.36324786324786323,0.85,0.55
LogisticRegression Embeddings,0.791905849268431,0.9529585798816569,0.9974358974358974,0.6196581196581197,0.8138075313807531,0.8963133640552995,0.3505594823927215,0.6494405176072785,1,89,0.002564102564102564,0.3803418803418803,0.7,0.2
RandomForest Embeddings,0.7820214485048542,0.950252027175104,0.9974358974358974,0.6196581196581197,0.8138075313807531,0.8963133640552995,0.31899038461538465,0.6810096153846154,1,89,0.002564102564102564,0.3803418803418803,0.8,0.65
ExtraTrees Embeddings,0.7812768327783237,0.9492055665132588,0.9974358974358974,0.6153846153846154,0.8121085594989561,0.8952819332566168,0.316386217948718,0.683613782051282,1,90,0.002564102564102564,0.38461538461538464,0.8,0.65
XGBoost Embeddings,0.7755801874657874,0.9504821389436774,0.9974358974358974,0.6153846153846154,0.8121085594989561,0.8952819332566168,0.35090581593491754,0.6490941840650825,1,90,0.002564102564102564,0.38461538461538464,0.8,0.7
LightGBM Embeddings,0.7748114995855718,0.9435513916283147,0.9948717948717949,0.6068376068376068,0.8083333333333333,0.8919540229885058,0.366662411627259,0.633337588372741,2,92,0.005128205128205128,0.39316239316239315,0.85,0.7
SoftVoting Embeddings,0.7620789940290086,0.9587278106508876,0.9974358974358974,0.6068376068376068,0.8087318087318087,0.8932261768082663,0.33650494622408844,0.6634950537759116,1,92,0.002564102564102564,0.39316239316239315,0.75,0.9
