review_margin,review_lower_bound,automation_rate,review_rate,automated_balanced_accuracy,mean_decision_reliability,safety_reliability_score
0.0,0.98,1.0,0.0,0.9051282051282051,0.9065886,0.9056393452485403
0.005,0.975,0.9951923076923077,0.004807692307692308,0.9086662691313854,0.90635794,0.9078583523592592
0.01,0.97,0.9871794871794872,0.01282051282051282,0.9089659833295787,0.906028,0.9079376825888325
0.015,0.965,0.9775641025641025,0.022435897435897436,0.914789854324978,0.9057285,0.9116183839680044
0.02,0.96,0.9727564102564102,0.027243589743589744,0.91849772417458,0.9056177,0.9139897265488194
0.025,0.955,0.967948717948718,0.03205128205128205,0.9207726763717805,0.90555334,0.9154459149212747
0.03,0.95,0.9647435897435898,0.035256410256410256,0.9218032305433186,0.90555674,0.9161169672256699
0.035,0.945,0.9551282051282052,0.04487179487179487,0.9249231950844854,0.9056362,0.918172749744216
0.04,0.94,0.9487179487179487,0.05128205128205128,0.9254857240428828,0.90575397,0.9185796101790366
0.045,0.9349999999999999,0.9455128205128205,0.05448717948717949,0.9280861813143019,0.9058443,0.92030149786719
0.05,0.9299999999999999,0.9455128205128205,0.05448717948717949,0.9280861813143019,0.9058443,0.92030149786719
0.055,0.9249999999999999,0.9439102564102564,0.05608974358974359,0.9293970096399764,0.90592086,0.9211803583690272
0.06,0.9199999999999999,0.9439102564102564,0.05608974358974359,0.9293970096399764,0.90592086,0.9211803583690272
0.065,0.915,0.9407051282051282,0.05929487179487179,0.9289011316259679,0.90613323,0.9209323646519566
0.07,0.9099999999999999,0.9391025641025641,0.060897435897435896,0.9286497806142799,0.9062596,0.9208132131407828
0.075,0.905,0.9391025641025641,0.060897435897435896,0.9286497806142799,0.9062596,0.9208132131407828
0.08,0.9,0.9375,0.0625,0.9283961130034062,0.9064207,0.9207047151876724
0.085,0.895,0.9358974358974359,0.0641025641025641,0.9297140848076948,0.90658927,0.9216204054587877
0.09,0.89,0.9326923076923077,0.0673076923076923,0.9323716937062054,0.90697193,0.9234817828796299
0.095,0.885,0.9278846153846154,0.07211538461538461,0.9315964665215721,0.9075966,0.9231965150466543
0.1,0.88,0.9230769230769231,0.07692307692307693,0.9324072154260834,0.908272,0.9239598938557658
0.105,0.875,0.9214743589743589,0.07852564102564102,0.9321389510962971,0.90851384,0.9238701606369858
0.11,0.87,0.9198717948717948,0.08012820512820513,0.9318681318681319,0.9087719,0.9237844291755132
0.115,0.865,0.9150641025641025,0.08493589743589744,0.9326658190294554,0.9095897,0.9245891771369072
0.12,0.86,0.9150641025641025,0.08493589743589744,0.9326658190294554,0.9095897,0.9245891771369072
0.125,0.855,0.9118589743589743,0.08814102564102565,0.9321056995372972,0.9102165,0.9244444743621002
0.13,0.85,0.9102564102564102,0.08974358974358974,0.9318215413559094,0.91053903,0.9243726627414028
0.135,0.845,0.9102564102564102,0.08974358974358974,0.9318215413559094,0.91053903,0.9243726627414028
0.14,0.84,0.9086538461538461,0.09134615384615384,0.9331761218164668,0.91088974,0.92537589580668
0.145,0.835,0.907051282051282,0.09294871794871795,0.9328891777705557,0.9112582,0.9253183368258093
0.15,0.83,0.9022435897435898,0.09775641025641026,0.932011214645007,0.9124225,0.9251551479482096
0.155,0.825,0.9006410256410257,0.09935897435897435,0.9333732997064539,0.9128225,0.9261805145487275
0.16,0.82,0.8990384615384616,0.10096153846153846,0.9330747922437673,0.91324705,0.9261350790774063
0.165,0.815,0.8974358974358975,0.10256410256410256,0.9344444444444444,0.9136823,0.9271776726775699
0.17,0.8099999999999999,0.8974358974358975,0.10256410256410256,0.9344444444444444,0.9136823,0.9271776726775699
0.17500000000000002,0.8049999999999999,0.8974358974358975,0.10256410256410256,0.9344444444444444,0.9136823,0.9271776726775699
0.18,0.8,0.8958333333333334,0.10416666666666667,0.934142936906756,0.9141614,0.927149390446148
0.185,0.7949999999999999,0.8942307692307693,0.10576923076923077,0.9355202194818102,0.91465884,0.9282187292873222
0.19,0.79,0.8942307692307693,0.10576923076923077,0.9355202194818102,0.91465884,0.9282187292873222
0.195,0.7849999999999999,0.8942307692307693,0.10576923076923077,0.9355202194818102,0.91465884,0.9282187292873222
0.2,0.78,0.8910256410256411,0.10897435897435898,0.9349080214357423,0.9157467,0.9282015550282032
