accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.8795666694641113,0.9726318120956421,0.24457919597625732,0.7423664331436157,0.623507559299469,0.7554900050163269,0.0010000000474974513
0.9403143525123596,0.9879599809646606,0.14599448442459106,0.7423664331436157,0.7322955131530762,1.0111199617385864,0.0010000000474974513
0.9545454382896423,0.9923807978630066,0.1151367649435997,0.7423664331436157,0.5037037134170532,1.4475102424621582,0.0010000000474974513
0.9607051610946655,0.9932776093482971,0.10596134513616562,0.7423664331436157,0.5,1.781091570854187,0.0010000000474974513
0.9683517217636108,0.9960536360740662,0.08289745450019836,0.7423664331436157,0.5333333015441895,1.5516027212142944,0.0005000000237487257
0.9747238755226135,0.9975139498710632,0.06790174543857574,0.7423664331436157,0.5370370149612427,1.6183258295059204,0.0005000000237487257
0.9759982824325562,0.9974528551101685,0.0658133327960968,0.7461832165718079,0.942949652671814,0.8068451881408691,0.0005000000237487257
0.9817332029342651,0.998661458492279,0.05118216574192047,0.8568702340126038,0.9874415993690491,0.36141008138656616,0.0002500000118743628
0.9855564832687378,0.9988721609115601,0.04597871005535126,0.9503816962242126,0.9960201382637024,0.11224008351564407,0.0002500000118743628
0.9866185188293457,0.9990353584289551,0.04346536472439766,0.9732824563980103,0.9960392117500305,0.07276145368814468,0.0002500000118743628
0.9889549612998962,0.9993329644203186,0.038078565150499344,0.9694656729698181,0.9956774115562439,0.07528706640005112,0.0002500000118743628
0.9889549612998962,0.9993876218795776,0.034672629088163376,0.9580152630805969,0.9948491454124451,0.13927865028381348,0.0002500000118743628
0.9904417991638184,0.9995859861373901,0.03217686340212822,0.9713740348815918,0.995991587638855,0.08582258224487305,0.0002500000118743628
0.9923534393310547,0.9997464418411255,0.02693956159055233,0.9732824563980103,0.9955441951751709,0.07696542888879776,0.0001250000059371814
0.9946898818016052,0.9998293519020081,0.02470521070063114,0.9732824563980103,0.9952489733695984,0.0739603042602539,0.0001250000059371814
0.9932030439376831,0.999897301197052,0.022374501451849937,0.9713740348815918,0.9953442215919495,0.07178673148155212,0.0001250000059371814
0.9955394864082336,0.9998877644538879,0.021931391209363937,0.9732824563980103,0.995858371257782,0.07085813581943512,0.0001250000059371814
0.9955394864082336,0.9999359250068665,0.02032468467950821,0.9732824563980103,0.995944082736969,0.07066937536001205,0.0001250000059371814
