,precision,recall,f1-score,support
Normal,0.9933333333333333,0.6367521367521367,0.7760416666666666,234.0
Pneumonia,0.820675105485232,0.9974358974358974,0.9004629629629629,390.0
accuracy,0.8621794871794872,0.8621794871794872,0.8621794871794872,0.8621794871794872
macro avg,0.9070042194092827,0.8170940170940171,0.8382523148148148,624.0
weighted avg,0.88542194092827,0.8621794871794872,0.8538049768518519,624.0
