,precision,recall,f1-score,support
Normal,0.9425837320574163,0.8418803418803419,0.8893905191873589,234.0
Pneumonia,0.9108433734939759,0.9692307692307692,0.9391304347826087,390.0
accuracy,0.9214743589743589,0.9214743589743589,0.9214743589743589,0.9214743589743589
macro avg,0.9267135527756961,0.9055555555555556,0.9142604769849838,624.0
weighted avg,0.922746007955266,0.9214743589743589,0.92047796643439,624.0
