Paradigm,Model / Decision Rule,Accuracy,Balanced Accuracy,Sensitivity / Pneumonia Recall,Specificity / Normal Recall,F1-score,ROC-AUC,ECE,False Negatives,False Positives
Conventional AI,"Conventional AI (Compact CNN, tau=0.50)",0.8798076923076923,0.8414529914529915,0.9948717948717949,0.688034188034188,0.9118683901292597,0.9731097961867192,0.33040100964120567,2,73
UVIF-oriented AI,"UVIF-oriented AI (Compact CNN, tau=0.98)",0.9294871794871795,0.923931623931624,0.9461538461538461,0.9017094017094017,0.9437340153452686,0.9731097961867192,0.33040100964120567,21,23
