embedding_feature,mean_abs_shap
emb_124,0.037416907569750656
emb_071,0.026357733640714323
emb_099,0.025203863662144707
emb_127,0.019822268835307764
emb_026,0.019300438782483675
emb_046,0.018447666700972015
emb_111,0.01752765892727408
emb_100,0.016465019322183624
emb_058,0.015066839912874119
emb_059,0.014674244275424778
emb_004,0.01286983096839131
emb_043,0.011250362042038588
emb_062,0.010854433067446916
emb_040,0.010266316188555339
emb_108,0.01024529342245807
emb_039,0.009979226323546161
emb_056,0.009966273940894981
emb_073,0.009901161804023785
emb_061,0.009451497066497817
emb_002,0.008213334572703635
emb_001,0.008137785324327702
emb_076,0.0070463601820258724
emb_018,0.00686909789685666
emb_112,0.006748273505716818
emb_102,0.006499194570173464
emb_110,0.005993485638917375
emb_000,0.005989099888693102
emb_052,0.005859522713782327
emb_048,0.0052491266726323845
emb_097,0.00515988259096189
emb_017,0.0048807211559438336
emb_075,0.004838096784934235
emb_010,0.004830632620879013
emb_072,0.004802894440155783
emb_106,0.0047157976697181
emb_014,0.004552577441041977
emb_086,0.0044922068321344355
emb_114,0.004277789284021769
emb_047,0.004012470862792182
emb_042,0.0039996254486344
emb_098,0.0037510997254630615
emb_088,0.003644563133408775
emb_095,0.0036403192615684127
emb_116,0.0034404995633934717
emb_084,0.0034347749804417215
emb_067,0.0034281522756797957
emb_123,0.0033321731373801592
emb_090,0.003218377756742475
emb_003,0.0031858029893793755
emb_107,0.003145944698321336
emb_091,0.0029922175929969776
emb_005,0.0028533280222803594
emb_035,0.002852929552747968
emb_012,0.002754413375639896
emb_016,0.002605118096784806
emb_051,0.0025754218601724186
emb_094,0.0025117434433542074
emb_089,0.0025108637816767146
emb_023,0.00240571668126624
emb_038,0.0023717211199189973
emb_119,0.0023429523964407133
emb_093,0.0023402002678365686
emb_049,0.0023255631622061965
emb_033,0.0022985167156431953
emb_013,0.0022850014957228534
emb_070,0.002273657966275964
emb_032,0.002272731917517727
emb_122,0.002242937849437536
emb_115,0.002072279570792878
emb_068,0.0020272776538692713
emb_019,0.002023749839384936
emb_044,0.001970461336065931
emb_007,0.0018646740996617445
emb_118,0.001842241063392334
emb_077,0.0018358037452585374
emb_031,0.0018088692185878334
emb_022,0.0018064837184975197
emb_101,0.0017410477497242813
emb_082,0.0016413198289847825
emb_126,0.001545715173955736
emb_034,0.001524495194995217
emb_027,0.0015095905162496998
emb_085,0.0015034701253164872
emb_117,0.0014717546583445727
emb_087,0.0014096932835803084
emb_109,0.0013785576068166897
emb_079,0.001360321614932207
emb_020,0.001311687626282966
emb_055,0.0013104399349472544
emb_081,0.0012976297305091807
emb_103,0.001180575094263187
emb_080,0.0011014410750862886
emb_104,0.0010564274903912792
emb_045,0.0010393659739661512
emb_015,0.001020402110458906
emb_092,0.0010130643644241163
emb_006,0.0010080852445986071
emb_121,0.0009858898240172741
emb_037,0.0009709873653554366
emb_057,0.000966771175359058
emb_096,0.0009616458288624781
emb_036,0.0009451375532907771
emb_105,0.0009299288880305414
emb_050,0.0009225262063471157
emb_069,0.0008593932457475785
emb_064,0.0008488681128029953
emb_060,0.0008325050958466344
emb_021,0.0008221308070610066
emb_078,0.0007807361351473292
emb_065,0.0007780461043400926
emb_041,0.000754869459071009
emb_113,0.0007482947494864691
emb_125,0.0007419740267537911
emb_029,0.000732297938219737
emb_066,0.0006998354698341808
emb_009,0.000676577614121636
emb_074,0.000641162904585019
emb_008,0.0006394419014813762
emb_024,0.0005905918890170608
emb_120,0.0005443941867262728
emb_030,0.000509815129177161
emb_083,0.00047018803907194806
emb_028,0.00046028821427083143
emb_063,0.00042735057117273997
emb_025,0.00042380994221182503
emb_054,0.0003762770317807221
emb_053,0.000337307754352075
emb_011,0.0003325538979253747
