Paradigm,Model / Decision Rule,Accuracy,Balanced Accuracy,Sensitivity / Pneumonia Recall,Specificity / Normal Recall,Precision,Negative Predictive Value,F1-score,ROC-AUC,MCC,ECE,Mean Confidence,Mean Uncertainty,False Negatives,False Positives,FN Rate,FP Rate
Conventional AI,"Conventional AI (Compact CNN, tau=0.50)",0.8798076923076923,0.8414529914529915,0.9948717948717949,0.688034188034188,0.841648590021692,0.9877300613496932,0.9118683901292597,0.9731097961867192,0.7525872993321202,0.33040100964120567,0.9554011225700378,0.08919795602560043,2,73,0.005128205128205128,0.31196581196581197
UVIF-oriented AI,"UVIF-oriented AI (Compact CNN, tau=0.98)",0.9294871794871795,0.923931623931624,0.9461538461538461,0.9017094017094017,0.9413265306122449,0.9094827586206896,0.9437340153452686,0.9731097961867192,0.8493349912026805,0.33040100964120567,0.9554011225700378,0.08919795602560043,21,23,0.05384615384615385,0.09829059829059829
